,stars,name,feedback,avg_sent,gender,num_words,emoji
1608,3,Мария,понравиться село,5.0,F,5,0
1609,5,Алена,ворота высокий узкий село,3.0,F,6,0
1610,4,полина,плотный хороший качество странный воротник брать оверсайза,13.0,F,13,0
1611,5,Анна,соответствовать фото размер плотный хороший ткань,7.0,F,7,0
1612,1,Екатерина,стирка разойтись шов плечо видный место,9.0,F,9,0
1613,5,Лариса,,1.0,F,1,2
1614,5,Екатерина,плотный хороший ткань сшить качественно,6.0,F,6,1
1615,5,Наталья,классный базовый качество обычный,6.0,F,6,1
1616,4,Юлия,цвет соответсвовать фото довольно плотный разик ворот коротковатый,10.0,F,10,0
1617,5,Кристина,цвет молочный качечь,4.0,F,4,0
1618,2,Timofeeva Larisa,впечатлить поэтому отказ ткань приятный тяжёлый рукав субъективный мнение,5.666666666666667,F,17,0
1619,5,София,деньга отличный,4.0,F,4,0
1620,3,Екатерина,тоненький тряпочка первый стирка выбросить,4.0,F,8,0
1621,5,Дина,рука жать остальной нормальный,3.5,F,7,0
1622,5,Кузнецова Мария,супер качество ткань дизайн цвет достойный похвала спасибо ламода,3.333333333333333,F,10,0
1623,5,София,хороший блузка неожиданно приятный качество товар ткань достаточно тяжёлый приятный ещё цена заманчивый,4.25,F,17,0
1624,5,Бишлер Татьяна,стильный благодаря вставка рукав металлический цепочка,7.0,F,7,0
1625,5,Бишлер Татьяна,стильный,1.0,F,1,0
1626,5,Виктория,красивый нежный подойти размер,5.5,F,11,0
1627,5,Ирина Федоровна,неоднозначный тяжёлый вискозный материал рукавчик цвет нужный именно идти размер,4.25,F,17,0
1628,4,Аня,приятный удивление тяжёлый оказаться материал плотный вставка рукав немного колоться устранить фасон прямой,21.0,F,21,0
1629,3,Ольга,50rus больший подплечики уехать,7.0,F,7,0
1630,3,Виктория,сидеть странновато просвечивать слегка взять,3.5,F,7,0
1631,5,Аида,восторг бренд доступный цена качество хороший ожидать советовать,5.0,F,15,0
1632,5,Анастасия,классный тишка плотный настолько думать клёвый плечо подплечник,13.0,F,13,0
1633,5,Серикова Елена,оказаться подплечник создаваться эффект массивный плечо визуально уменьшать бедро приятно удивиться,3.25,F,13,0
1634,5,Лилия,немного просвечивать соответствовать бельё,8.0,F,8,1
1635,2,Морозова Анна,смотреться дёшево воротник,6.0,F,6,0
1636,5,Лилия,лето самый джинсы шорты угадать размер длинный перезаказать малый надеяться подойти,18.0,F,18,0
1637,5,Елизавета,красивый белоснежный цвет размер прям хороший оверсайза смотреться стильно носить джинсы модель идеальный получаться образ,8.666666666666666,F,26,0
1638,5,диана,,1.0,F,1,2
1639,4,Наталья,симпатичный плотный хотеть купить работа поэтому подойти,5.5,F,11,0
1640,4,Лысенко  Лилия,качество хороший большемерить оставить носить оверсайза,5.0,F,10,1
1641,4,Анна,просвечиваться,1.0,F,1,0
1642,4,Мария,сидеть свободно бесформенный наверное хотеться плотный ткань декор,6.5,F,13,0
1643,4,Ольга,трикотаж просвечивать цвет молочный некоторый бусина облезть,5.0,F,10,0
1644,5,татьяна,хороший хлопок качество страз отваливаться,9.0,F,9,0
1645,4,Алевтина,качество хороший база вполне подходить цвет тёмный фото,5.5,F,11,0
1646,5,Александр,,1.0,F,1,3
1647,5,Ольга,плотный качественный ткань отличный базовый вещь взять штука разный цвет хороший длина долинный супер укоротить,4.75,F,19,0
1648,5,Ирина,отличный качество красиво силита приятный цвет,6.0,F,6,0
1649,3,Наталья,качество хороший коротковатый цвет подойти отказ,11.0,F,11,0
1650,5,Камилла,отличный ткань приятный взять размер обхват грудь талия бедро 106 село свободно примерить,11.0,F,22,0
1651,5,Джамиля,классный футболочка цвет светлый,6.0,F,6,0
1652,5,Шаравина Дарья,отличный зеленоватый фото почему коричневый показаться понравиться размер,2.6,F,13,0
1653,5,А,ощущение немного маломерить взять оверсайза,5.0,F,10,0
1654,5,Юлия,,1.0,F,1,1
1655,5,Татьяна,отличный сон размер размер,3.5,F,7,0
1656,1,Захарова  Ира,махровый захотеть носить точно свободный,4.666666666666667,F,14,0
1657,3,надежда,махровый полотенце отказаться,5.0,F,5,0
1658,3,Anastasia,фото понять сделать ткань похожий тонкий махровый полотенце пушистый сожаление пятно выкупить,8.0,F,24,0
